id,date_created,date_updated,folder_dir,file_name,identifying_type,title,parent
399b2613-c12d-4b32-98c0-dd009a3b3b4e,2023-05-21 11:21:54,2023-05-21 11:21:54,productivity,One,folder,One,
123387b8-2cd6-48ff-b862-5d75afa40a58,2023-05-21 11:22:11,2023-05-21 11:22:11,productivity/One,project_123387b8-2cd6-48ff-b862-5d75afa40a58.json,project,Two,399b2613-c12d-4b32-98c0-dd009a3b3b4e
ca4d2c7b-d413-40a1-90ad-f9ad0cdc329c,2023-05-21 11:22:30,2023-05-21 11:22:30,productivity/One,project_ca4d2c7b-d413-40a1-90ad-f9ad0cdc329c.json,project,Three,399b2613-c12d-4b32-98c0-dd009a3b3b4e
91e51ef4-0750-480e-8912-2db60a645ae5,2023-05-21 11:22:49,2023-05-21 11:22:49,productivity/One,task_91e51ef4-0750-480e-8912-2db60a645ae5.json,task,Task 1,ca4d2c7b-d413-40a1-90ad-f9ad0cdc329c
7a7a2abd-cacd-4e28-96de-155e78fc806f,2023-05-21 11:22:58,2023-05-21 11:22:58,productivity/One,milestone_7a7a2abd-cacd-4e28-96de-155e78fc806f.json,milestone,Milestone One,ca4d2c7b-d413-40a1-90ad-f9ad0cdc329c
1614040a-7425-4c92-a617-0d9c811c3a65,2023-05-21 11:23:12,2023-05-21 11:23:12,productivity/One,deliverable_1614040a-7425-4c92-a617-0d9c811c3a65.json,deliverable,Deliverable One,ca4d2c7b-d413-40a1-90ad-f9ad0cdc329c
bd2d9f57-739c-4ec8-a8d5-79ce18a6aca7,2023-05-21 11:23:34,2023-05-21 11:23:34,productivity/One,task_bd2d9f57-739c-4ec8-a8d5-79ce18a6aca7.json,task,Another One,ca4d2c7b-d413-40a1-90ad-f9ad0cdc329c
0f904cc7-94c6-4c34-ac01-4b688d55928e,2023-05-21 11:23:41,2023-05-21 11:23:41,productivity,Folder Tester,folder,Folder Tester,
c3b377c9-515e-4992-8ddd-39024024a76c,2023-05-21 16:53:11,2023-05-21 16:53:11,productivity/Folder Tester,project_c3b377c9-515e-4992-8ddd-39024024a76c.json,project,dfvdfvdf,0f904cc7-94c6-4c34-ac01-4b688d55928e
8c9aed47-7c68-4661-b52e-e33438e89a3d,2023-05-21 16:58:28,2023-05-21 16:58:28,productivity/Folder Tester,task_8c9aed47-7c68-4661-b52e-e33438e89a3d.json,task,TTTAAAAAAAAAAASK,c3b377c9-515e-4992-8ddd-39024024a76c
