id,date_created,date_updated,folder_dir,file_name,identifying_type,title
a152cf13-5ddb-4e4f-bdd7-feafd72a3684,2023-05-19 17:35:32,2023-05-19 17:35:32,productivity,Here we go,folder,Here we go
4559ed56-5297-400d-9677-570b1ebba425,2023-05-19 17:35:53,2023-05-19 17:35:53,productivity/Here we go/attachments/This is a project/images,IMG_7727.jpeg,attachment,IMG_7727.jpeg
38f8cf76-7857-41f3-b67d-124f3231b48a,2023-05-19 17:35:53,2023-05-19 17:35:53,productivity/Here we go/attachments/This is a project/images,IMG_7730.jpeg,attachment,IMG_7730.jpeg
e25e3a6b-cc29-4a2b-a015-a5b952d32b71,2023-05-19 17:35:53,2023-05-19 17:35:53,productivity/Here we go/comments/This is a project,comment_e25e3a6b-cc29-4a2b-a015-a5b952d32b71.md,comment,Comment_go...
443ab823-e91b-41ed-a869-8775afa69448,2023-05-19 17:35:53,2023-05-19 17:35:53,productivity/Here we go,project_443ab823-e91b-41ed-a869-8775afa69448.json,project,This is a project
c8a5ef86-0850-4204-9372-0e4170c416f5,2023-05-19 17:37:54,2023-05-19 17:37:54,productivity/Here we go,project_c8a5ef86-0850-4204-9372-0e4170c416f5.json,project,Title 2
2b44da80-741b-43d5-a748-a67bea4786a0,2023-05-19 17:39:53,2023-05-19 17:39:53,productivity,BBB,folder,BBB
e487a250-0aea-47fd-9b20-b01dafd2adef,2023-05-19 17:40:15,2023-05-19 17:40:15,productivity/BBB,project_e487a250-0aea-47fd-9b20-b01dafd2adef.json,project,Project here
d4662b11-0ad7-4e97-a0d1-e113f31b0f12,2023-05-19 17:43:13,2023-05-19 17:43:13,productivity/BBB/attachments/Here we go/images,IMG_7724.jpeg,attachment,IMG_7724.jpeg
97f74789-5097-4d38-9d22-d0da7bc667db,2023-05-19 17:43:13,2023-05-19 17:43:13,productivity/BBB/attachments/Here we go/images,IMG_7730.jpeg,attachment,IMG_7730.jpeg
fecfca9f-fd71-4b7d-a636-67343188b512,2023-05-19 17:43:13,2023-05-19 17:43:13,productivity/BBB/attachments/Here we go/images,IMG_7755.jpeg,attachment,IMG_7755.jpeg
1aa77f59-bfb7-40a3-8909-5b1ada91af3f,2023-05-19 17:43:13,2023-05-19 17:43:13,productivity/BBB,project_1aa77f59-bfb7-40a3-8909-5b1ada91af3f.json,project,Here we go
1e786aba-2af5-44b0-89bc-8a26bff2dcc3,2023-05-19 17:44:39,2023-05-19 17:44:39,productivity/BBB/attachments/This is another project/images,IMG_7722.jpeg,attachment,IMG_7722.jpeg
b933cab5-c921-488c-b054-864dbcf95fef,2023-05-19 17:44:39,2023-05-19 17:44:39,productivity/BBB/attachments/This is another project/images,IMG_7728.jpeg,attachment,IMG_7728.jpeg
6ae5d39f-310c-4871-a7f7-16999aa639cc,2023-05-19 17:44:39,2023-05-19 17:44:39,productivity/BBB/attachments/This is another project/images,IMG_7727.jpeg,attachment,IMG_7727.jpeg
920b9d9b-f033-4819-980b-22cb9fc08828,2023-05-19 17:44:39,2023-05-19 17:44:39,productivity/BBB/attachments/This is another project/images,IMG_7724.jpeg,attachment,IMG_7724.jpeg
e81e929c-1567-4d7c-9e73-91b30d63ff8b,2023-05-19 17:44:39,2023-05-19 17:44:39,productivity/BBB/attachments/This is another project/images,IMG_7725.jpeg,attachment,IMG_7725.jpeg
f9a49d16-a319-4b58-bd56-097610f2d14b,2023-05-19 17:44:39,2023-05-19 17:44:39,productivity/BBB/attachments/This is another project/images,IMG_7726.jpeg,attachment,IMG_7726.jpeg
06943ac9-2c07-4e94-8a56-a20bd87ab66f,2023-05-19 17:44:39,2023-05-19 17:44:39,productivity/BBB/attachments/This is another project/images,IMG_7729.jpeg,attachment,IMG_7729.jpeg
882da261-bad9-442b-adf0-59d70ff12032,2023-05-19 17:44:39,2023-05-19 17:44:39,productivity/BBB/attachments/This is another project/images,IMG_7723.jpeg,attachment,IMG_7723.jpeg
5bcdbc19-afab-411a-86da-09055d484ab0,2023-05-19 17:44:39,2023-05-19 17:44:39,productivity/BBB,project_5bcdbc19-afab-411a-86da-09055d484ab0.json,project,This is another project
106f0c75-f477-4fa0-881a-a31e14309a52,2023-05-19 17:48:16,2023-05-19 17:48:16,productivity/BBB/comments/gsgf,comment_106f0c75-f477-4fa0-881a-a31e14309a52.md,comment,sggsgfg
dd6cebd5-0f0c-4a1c-988c-f3a0341d5896,2023-05-19 17:48:16,2023-05-19 17:48:16,productivity/BBB,project_dd6cebd5-0f0c-4a1c-988c-f3a0341d5896.json,project,gsgf
b38300dc-424c-4926-bb7a-edc2e170b4e1,2023-05-19 19:11:34,2023-05-19 19:11:34,productivity/BBB,task_b38300dc-424c-4926-bb7a-edc2e170b4e1.json,task,This is a task
4b5c28a1-ec0d-4a50-93e4-7c78ebc33a93,2023-05-19 19:11:40,2023-05-19 19:11:40,productivity/BBB,task_4b5c28a1-ec0d-4a50-93e4-7c78ebc33a93.json,task,And another
